Marka;Ana Grup;Branş;Kategori;Ürün Grubu;Cinsiyeti Açıklama;Ürün Kodu;Ürün Adı;Renk Kodu;Renk Açıklaması;Beden;Stok;Barkod;Lot barkodu;;2. lot barkodu;;tsf;tspsf
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;9;0;4066749415068;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;5-;0;4067889905563;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;9-;2;4066749415044;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;3-;4;4067889905556;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;6;14;4066749415099;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;6-;0;4066749415075;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;7;1;4066749411398;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;7-;3;4066749415129;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;8;1;4066749415006;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;TENNIS;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;HP9425;BREAKNET 2.0;10.1604;CBLACK/FTWWHT/FTWWHT;8-;3;4066749415051;L0000000084329;7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10-/1;;;2.726,37;2.999,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;4;4;4067889786964;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;9;152;4067886618312;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;10-;57;4067886618404;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;11;7;4067886618350;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;6-;53;4067886618428;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;7;65;4067886618435;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;7-;151;4067886618398;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
ADİDAS;AYAKKABI;SPORTSWEAR;SHOES - LOW (NON FOOTBALL);SHOES;ERKEK;ID3709;VL COURT BASE;10.3912;FTWWHT/SHANAV/GREONE;8;152;4067886618329;L0000000084417;6-/1 , 7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;L0000000084781;7/1 , 7-/2 , 8/2 , 8-/2 , 9/2 , 9-/1 , 10/1 , 10-/1;2.817,27;3.099,00
